disease,symptoms
Alcoholic hepatitis,"['vomiting', 'yellowishskin', 'abdominalpain', 'swellingofstomach', 'distentionofabdomen', 'historyofalcoholconsumption', 'fluidoverload']"
Tuberculosis,"['chill', 'vomiting', 'fatigue', 'weightloss', 'cough', 'highfever', 'breathlessness', 'sweating', 'lossofappetite', 'mildfever', 'yellowingofeyes', 'swelledlymphnodes', 'malaise', 'phlegm', 'chestpain', 'bloodinsputum']"
Common Cold,"['continuoussneezing', 'chill', 'fatigue', 'cough', 'highfever', 'headache', 'swelledlymphnodes', 'malaise', 'phlegm', 'throatirritation', 'rednessofeyes', 'sinuspressure', 'runnynose', 'congestion', 'chestpain', 'lossofsmell', 'musclepain']"
Pneumonia,"['chill', 'fatigue', 'cough', 'highfever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chestpain', 'fastheartrate', 'rustysputum']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Heart attack,"['vomiting', 'breathlessness', 'sweating', 'chestpain']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
Acne,"['skinrash', 'pusfilledpimples', 'blackhead', 'scurring']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'foulsmellof urine', 'continuousfeelofurine']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Impetigo,"['skinrash', 'highfever', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions', 'dischromic patch']"
Allergy,"['continuoussneezing', 'shivering', 'chill', 'wateringfromeyes']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition', 'spotting urination']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'neckpain', 'dizziness', 'lossofbalance']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'weaknessofonebodyside', 'alteredsensorium']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
Malaria,"['chill', 'vomiting', 'highfever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'musclepain']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'lethargy', 'highfever', 'headache', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'jointpain', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes', 'familyhistory']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis E,"['jointpain', 'vomiting', 'fatigue', 'highfever', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes', 'acuteliverfailure', 'coma', 'stomachbleeding']"
Alcoholic hepatitis,"['vomiting', 'yellowishskin', 'abdominalpain', 'swellingofstomach', 'distentionofabdomen', 'historyofalcoholconsumption', 'fluidoverload']"
Tuberculosis,"['chill', 'vomiting', 'fatigue', 'weightloss', 'cough', 'highfever', 'breathlessness', 'sweating', 'lossofappetite', 'mildfever', 'yellowingofeyes', 'swelledlymphnodes', 'malaise', 'phlegm', 'chestpain', 'bloodinsputum']"
Common Cold,"['continuoussneezing', 'chill', 'fatigue', 'cough', 'highfever', 'headache', 'swelledlymphnodes', 'malaise', 'phlegm', 'throatirritation', 'rednessofeyes', 'sinuspressure', 'runnynose', 'congestion', 'chestpain', 'lossofsmell', 'musclepain']"
Pneumonia,"['chill', 'fatigue', 'cough', 'highfever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chestpain', 'fastheartrate', 'rustysputum']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Heart attack,"['vomiting', 'breathlessness', 'sweating', 'chestpain']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
Acne,"['skinrash', 'pusfilledpimples', 'blackhead', 'scurring']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'foulsmellof urine', 'continuousfeelofurine']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Impetigo,"['skinrash', 'highfever', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions', 'dischromic patch']"
Allergy,"['continuoussneezing', 'shivering', 'chill', 'wateringfromeyes']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition', 'spotting urination']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'neckpain', 'dizziness', 'lossofbalance']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'weaknessofonebodyside', 'alteredsensorium']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
Malaria,"['chill', 'vomiting', 'highfever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'musclepain']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'lethargy', 'highfever', 'headache', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'jointpain', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes', 'familyhistory']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis E,"['jointpain', 'vomiting', 'fatigue', 'highfever', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes', 'acuteliverfailure', 'coma', 'stomachbleeding']"
Alcoholic hepatitis,"['vomiting', 'yellowishskin', 'abdominalpain', 'swellingofstomach', 'distentionofabdomen', 'historyofalcoholconsumption', 'fluidoverload']"
Tuberculosis,"['chill', 'vomiting', 'fatigue', 'weightloss', 'cough', 'highfever', 'breathlessness', 'sweating', 'lossofappetite', 'mildfever', 'yellowingofeyes', 'swelledlymphnodes', 'malaise', 'phlegm', 'chestpain', 'bloodinsputum']"
Common Cold,"['continuoussneezing', 'chill', 'fatigue', 'cough', 'highfever', 'headache', 'swelledlymphnodes', 'malaise', 'phlegm', 'throatirritation', 'rednessofeyes', 'sinuspressure', 'runnynose', 'congestion', 'chestpain', 'lossofsmell', 'musclepain']"
Pneumonia,"['chill', 'fatigue', 'cough', 'highfever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chestpain', 'fastheartrate', 'rustysputum']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Heart attack,"['vomiting', 'breathlessness', 'sweating', 'chestpain']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
Acne,"['skinrash', 'pusfilledpimples', 'blackhead', 'scurring']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'foulsmellof urine', 'continuousfeelofurine']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Impetigo,"['skinrash', 'highfever', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions', 'dischromic patch']"
Allergy,"['continuoussneezing', 'shivering', 'chill', 'wateringfromeyes']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition', 'spotting urination']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'neckpain', 'dizziness', 'lossofbalance']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'weaknessofonebodyside', 'alteredsensorium']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
Malaria,"['chill', 'vomiting', 'highfever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'musclepain']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'lethargy', 'highfever', 'headache', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'jointpain', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes', 'familyhistory']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis E,"['jointpain', 'vomiting', 'fatigue', 'highfever', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes', 'acuteliverfailure', 'coma', 'stomachbleeding']"
Alcoholic hepatitis,"['vomiting', 'yellowishskin', 'abdominalpain', 'swellingofstomach', 'distentionofabdomen', 'historyofalcoholconsumption', 'fluidoverload']"
Tuberculosis,"['chill', 'vomiting', 'fatigue', 'weightloss', 'cough', 'highfever', 'breathlessness', 'sweating', 'lossofappetite', 'mildfever', 'yellowingofeyes', 'swelledlymphnodes', 'malaise', 'phlegm', 'chestpain', 'bloodinsputum']"
Common Cold,"['continuoussneezing', 'chill', 'fatigue', 'cough', 'highfever', 'headache', 'swelledlymphnodes', 'malaise', 'phlegm', 'throatirritation', 'rednessofeyes', 'sinuspressure', 'runnynose', 'congestion', 'chestpain', 'lossofsmell', 'musclepain']"
Pneumonia,"['chill', 'fatigue', 'cough', 'highfever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chestpain', 'fastheartrate', 'rustysputum']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Heart attack,"['vomiting', 'breathlessness', 'sweating', 'chestpain']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
Acne,"['skinrash', 'pusfilledpimples', 'blackhead', 'scurring']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'foulsmellof urine', 'continuousfeelofurine']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Impetigo,"['skinrash', 'highfever', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions', 'dischromic patch']"
Allergy,"['continuoussneezing', 'shivering', 'chill', 'wateringfromeyes']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition', 'spotting urination']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'neckpain', 'dizziness', 'lossofbalance']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'weaknessofonebodyside', 'alteredsensorium']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
Malaria,"['chill', 'vomiting', 'highfever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'musclepain']"
Chicken pox,"['itching', 'skinrash', 'fatigue', 'lethargy', 'highfever', 'headache', 'lossofappetite', 'mildfever', 'swelledlymphnodes', 'malaise', 'redspotsoverbody']"
Dengue,"['skinrash', 'chill', 'jointpain', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'lossofappetite', 'painbehindtheeyes', 'backpain', 'malaise', 'musclepain', 'redspotsoverbody']"
Typhoid,"['chill', 'vomiting', 'fatigue', 'highfever', 'headache', 'nausea', 'constipation', 'abdominalpain', 'diarrhoea', 'toxiclooktyphos', 'bellypain']"
hepatitis A,"['jointpain', 'vomiting', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'diarrhoea', 'mildfever', 'yellowingofeyes', 'musclepain']"
Hepatitis B,"['itching', 'fatigue', 'lethargy', 'yellowishskin', 'darkurine', 'lossofappetite', 'abdominalpain', 'yellowurine', 'yellowingofeyes', 'malaise', 'receivingbloodtransfusion', 'receivingunsterileinjections']"
Hepatitis C,"['fatigue', 'yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes', 'familyhistory']"
Hepatitis D,"['jointpain', 'vomiting', 'fatigue', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Hepatitis E,"['jointpain', 'vomiting', 'fatigue', 'highfever', 'yellowishskin', 'darkurine', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes', 'acuteliverfailure', 'coma', 'stomachbleeding']"
Alcoholic hepatitis,"['vomiting', 'yellowishskin', 'abdominalpain', 'swellingofstomach', 'distentionofabdomen', 'historyofalcoholconsumption', 'fluidoverload']"
Tuberculosis,"['chill', 'vomiting', 'fatigue', 'weightloss', 'cough', 'highfever', 'breathlessness', 'sweating', 'lossofappetite', 'mildfever', 'yellowingofeyes', 'swelledlymphnodes', 'malaise', 'phlegm', 'chestpain', 'bloodinsputum']"
Common Cold,"['continuoussneezing', 'chill', 'fatigue', 'cough', 'highfever', 'headache', 'swelledlymphnodes', 'malaise', 'phlegm', 'throatirritation', 'rednessofeyes', 'sinuspressure', 'runnynose', 'congestion', 'chestpain', 'lossofsmell', 'musclepain']"
Pneumonia,"['chill', 'fatigue', 'cough', 'highfever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chestpain', 'fastheartrate', 'rustysputum']"
Dimorphic hemmorhoids(piles),"['constipation', 'painduringbowelmovements', 'paininanalregion', 'bloodystool', 'irritationinanus']"
Heart attack,"['vomiting', 'breathlessness', 'sweating', 'chestpain']"
Varicose veins,"['fatigue', 'cramp', 'bruising', 'obesity', 'swollenlegs', 'swollenbloodvessels', 'prominentveinsoncalf']"
Hypothyroidism,"['fatigue', 'weightgain', 'coldhandsandfeets', 'moodswings', 'lethargy', 'dizziness', 'puffyfaceandeyes', 'enlargedthyroid', 'brittlenails', 'swollenextremeties', 'depression', 'irritability', 'abnormalmenstruation']"
Hyperthyroidism,"['fatigue', 'moodswings', 'weightloss', 'restlessness', 'sweating', 'diarrhoea', 'fastheartrate', 'excessivehunger', 'muscleweakness', 'irritability', 'abnormalmenstruation']"
Hypoglycemia,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurredanddistortedvision', 'excessivehunger', 'dryingandtinglinglips', 'slurredspeech', 'irritability', 'palpitation']"
Osteoarthristis,"['jointpain', 'neckpain', 'kneepain', 'hipjointpain', 'swellingjoints', 'painfulwalking']"
Arthritis,"['muscleweakness', 'stiffneck', 'swellingjoints', 'movementstiffness', 'painfulwalking']"
(vertigo) Paroymsal  Positional Vertigo,"['vomiting', 'headache', 'nausea', 'spinningmovements', 'lossofbalance', 'unsteadiness']"
Acne,"['skinrash', 'pusfilledpimples', 'blackhead', 'scurring']"
Urinary tract infection,"['burningmicturition', 'bladderdiscomfort', 'foulsmellof urine', 'continuousfeelofurine']"
Psoriasis,"['skinrash', 'jointpain', 'skinpeeling', 'silverlikedusting', 'smalldentsinnails', 'inflammatorynails']"
Impetigo,"['skinrash', 'highfever', 'blister', 'redsorearoundnose', 'yellowcrustooze']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions', 'dischromic patch']"
Allergy,"['continuoussneezing', 'shivering', 'chill', 'wateringfromeyes']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Drug Reaction,"['itching', 'skinrash', 'stomachpain', 'burningmicturition', 'spotting urination']"
Peptic ulcer diseae,"['vomiting', 'indigestion', 'lossofappetite', 'abdominalpain', 'passageofgases', 'internalitching']"
AIDS,"['musclewasting', 'patchesinthroat', 'highfever', 'extramaritalcontacts']"
Diabetes ,"['fatigue', 'weightloss', 'restlessness', 'lethargy', 'irregularsugarlevel', 'blurredanddistortedvision', 'obesity', 'excessivehunger', 'increasedappetite', 'polyuria']"
Gastroenteritis,"['vomiting', 'sunkeneyes', 'dehydration', 'diarrhoea']"
Bronchial Asthma,"['fatigue', 'cough', 'highfever', 'breathlessness', 'familyhistory', 'mucoidsputum']"
Hypertension ,"['headache', 'chestpain', 'dizziness', 'lossofbalance', 'lackofconcentration']"
Migraine,"['acidity', 'indigestion', 'headache', 'blurredanddistortedvision', 'excessivehunger', 'stiffneck', 'depression', 'irritability', 'visualdisturbances']"
Cervical spondylosis,"['backpain', 'weaknessinlimbs', 'neckpain', 'dizziness', 'lossofbalance']"
Paralysis (brain hemorrhage),"['vomiting', 'headache', 'weaknessofonebodyside', 'alteredsensorium']"
Jaundice,"['itching', 'vomiting', 'fatigue', 'weightloss', 'highfever', 'yellowishskin', 'darkurine', 'abdominalpain']"
